movieId,genreId
tt0111161,6
tt0068646,6
tt0108052,6
tt0071562,6
tt0050083,6
tt0468569,6
tt0167260,6
tt0110912,6
tt0167261,6
tt0137523,6
tt0120737,6
tt15097216,6
tt0109830,6
tt0073486,6
tt0099685,6
tt0118799,6
tt0317248,6
tt0038650,6
tt0102926,6
tt0120815,6
tt0056058,6
tt0114369,6
tt0120689,6
tt0816692,6
tt0047478,6
tt0120586,6
tt0034583,6
tt0253474,6
tt0095327,6
tt2582802,6
tt0172495,6
tt0114814,6
tt0407887,6
tt0110357,6
tt1675434,6
tt0078788,6
tt0110413,6
tt0021749,6
tt0027977,6
tt6751668,6
tt0095765,6
tt0482571,6
tt0112573,6
tt0082096,6
tt0081505,6
tt0086879,6
tt0057565,6
tt8267604,6
tt7286456,6
tt5311514,6
tt4154796,6
tt0032553,6
tt1853728,6
tt1345836,6
tt0043014,6
tt1187043,6
tt0364569,6
tt0050825,6
tt0405094,6
tt0051201,6
tt0091251,6
tt0093058,6
tt8503618,6
tt0180093,6
tt5074352,6
tt0338013,6
tt0361748,6
tt2106476,6
tt0119217,6
tt1832382,6
tt1745960,6
tt1255953,6
tt0169547,6
tt0986264,6
tt0113277,6
tt0012349,6
tt0056592,6
tt0044741,6
tt0040522,6
tt0036775,6
tt0053604,6
tt0086250,6
tt0033467,6
tt0055031,6
tt0087843,6
tt0056172,6
tt0017136,6
tt0070735,6
tt0434409,6
tt0372784,6
tt0457430,6
tt0268978,6
tt0266697,6
tt0469494,6
tt0055630,6
tt0048473,6
tt0363163,6
tt0476735,6
tt1291584,6
tt6966692,6
tt0019254,6
tt0031381,6
tt0040897,6
tt0042192,6
tt1305806,6
tt0042876,6
tt0477348,6
tt10272386,6
tt0057115,6
tt0046268,6
tt0046438,6
tt8579674,6
tt0167404,6
tt0119488,6
tt0089881,6
tt0105695,6
tt0080678,6
tt0075314,6
tt0112641,6
tt0071411,6
tt0118849,6
tt0071315,6
tt0120382,6
tt1895587,6
tt2267998,6
tt2119532,6
tt2024544,6
tt1979320,6
tt1950186,6
tt0036868,6
tt0060827,6
tt0032976,6
tt0083658,6
tt1454029,6
tt1392214,6
tt3011894,6
tt0032551,6
tt5027774,6
tt0015864,6
tt0097165,6
tt0245712,6
tt0059742,6
tt0031679,6
tt4016934,6
tt3315342,6
tt3170832,6
tt0107207,6
tt0081398,6
tt0405159,6
tt0072684,6
tt0117951,6
tt0050212,6
tt0050976,6
tt0050986,6
tt0047296,6
tt0395169,6
tt0381681,6
tt0053198,6
tt0092005,6
tt0052618,6
tt0353969,6
tt0758758,6
tt0091763,6
tt0113247,6
tt0978762,6
tt0075148,6
tt0112471,6
tt1028532,6
tt0074958,6
tt0264464,6
tt0058946,6
tt0077416,6
tt1205489,6
tt0061512,6
tt0107048,6
tt0099348,6
tt0068646,5
tt0071562,5
tt0050083,5
tt0468569,5
tt0110912,5
tt15097216,5
tt0099685,5
tt0317248,5
tt0102926,5
tt0114369,5
tt0120689,5
tt0120586,5
tt0114814,5
tt0407887,5
tt0110413,5
tt0057565,5
tt7286456,5
tt0051201,5
tt0105236,5
tt0113277,5
tt0056592,5
tt0066921,5
tt0036775,5
tt0086250,5
tt0022100,5
tt0087843,5
tt0070735,5
tt0372784,5
tt0266697,5
tt0208092,5
tt0042876,5
tt0477348,5
tt10366206,5
tt0046912,5
tt0993846,5
tt0119488,5
tt0075314,5
tt0112641,5
tt1895587,5
tt1392214,5
tt2278388,5
tt5027774,5
tt0107207,5
tt0116282,5
tt0118715,5
tt0047296,5
tt0053198,5
tt0353969,5
tt0113247,5
tt0120735,5
tt0264464,5
tt0061512,5
tt0108052,3
tt0099685,3
tt0253474,3
tt1675434,3
tt0112573,3
tt0086879,3
tt8503618,3
tt5074352,3
tt0056172,3
tt0268978,3
tt0363163,3
tt6966692,3
tt0019254,3
tt0993846,3
tt0080678,3
tt0071411,3
tt1895587,3
tt2119532,3
tt2024544,3
tt1979320,3
tt1950186,3
tt0059742,3
tt0107207,3
tt0081398,3
tt0395169,3
tt0758758,3
tt1028532,3
tt0264464,3
tt0108052,10
tt0112573,10
tt8503618,10
tt0363163,10
tt0019254,10
tt0057115,10
tt2119532,10
tt2024544,10
tt0395169,10
tt0468569,0
tt0167260,0
tt0167261,0
tt0120737,0
tt1375666,0
tt0080684,0
tt0133093,0
tt0103064,0
tt0056058,0
tt0076759,0
tt0047478,0
tt0172495,0
tt0110413,0
tt0082971,0
tt0090605,0
tt4633694,0
tt4154796,0
tt4154756,0
tt1345836,0
tt0364569,0
tt5074352,0
tt0119698,0
tt1745960,0
tt0113277,0
tt0053125,0
tt0086190,0
tt0434409,0
tt0372784,0
tt0266697,0
tt0055630,0
tt1291584,0
tt10872600,0
tt10366206,0
tt8579674,0
tt0089881,0
tt0095016,0
tt0097576,0
tt0107290,0
tt0015324,0
tt0325980,0
tt1979320,0
tt1950186,0
tt0083658,0
tt0129167,0
tt1392190,0
tt0017925,0
tt0088247,0
tt3315342,0
tt0892769,0
tt0120735,0
tt0317705,0
tt0167260,1
tt0167261,1
tt0060196,1
tt0120737,1
tt1375666,1
tt0080684,1
tt0076759,1
tt0245429,1
tt0816692,1
tt0088763,1
tt0172495,1
tt0110357,1
tt0082971,1
tt0090605,1
tt0910970,1
tt4633694,1
tt4154796,1
tt4154756,1
tt2380307,1
tt0114709,1
tt0361748,1
tt0119698,1
tt0435761,1
tt1049413,1
tt0053125,1
tt0062622,1
tt0086190,1
tt0056172,1
tt0347149,1
tt0266543,1
tt4729430,1
tt0040897,1
tt10872600,1
tt0057115,1
tt0046268,1
tt0097576,1
tt0107290,1
tt0071853,1
tt0071411,1
tt0325980,1
tt2096673,1
tt0129167,1
tt1392190,1
tt2278388,1
tt0015864,1
tt0198781,1
tt0017925,1
tt0032138,1
tt0072684,1
tt0050212,1
tt0382932,1
tt0092005,1
tt0052618,1
tt0073195,1
tt0758758,1
tt1201607,1
tt0892769,1
tt0317705,1
tt0099348,1
tt0103639,1
tt0060196,20
tt0064116,20
tt1853728,20
tt0040897,20
tt0105695,20
tt0059578,20
tt0099348,20
tt1375666,16
tt0133093,16
tt0103064,16
tt0816692,16
tt0088763,16
tt0078748,16
tt0482571,16
tt0090605,16
tt4154756,16
tt0338013,16
tt0066921,16
tt0062622,16
tt0017136,16
tt0434409,16
tt0084787,16
tt0107290,16
tt0083658,16
tt1392190,16
tt0088247,16
tt3315342,16
tt15097216,14
tt0056058,14
tt0114369,14
tt0054215,14
tt0114814,14
tt0078788,14
tt0047396,14
tt0482571,14
tt0057565,14
tt0364569,14
tt0405094,14
tt0209144,14
tt0051201,14
tt1255953,14
tt0053125,14
tt0052357,14
tt0033467,14
tt0022100,14
tt1305806,14
tt0042876,14
tt1130884,14
tt10272386,14
tt0167404,14
tt0119488,14
tt0084787,14
tt0071315,14
tt2267998,14
tt0032976,14
tt1392214,14
tt0041959,14
tt0353969,14
tt0073195,14
tt0109830,15
tt0118799,15
tt0034583,15
tt0021749,15
tt0027977,15
tt0095765,15
tt0338013,15
tt0119217,15
tt0211915,15
tt0045152,15
tt0052357,15
tt0053604,15
tt0053291,15
tt0031381,15
tt0035446,15
tt1305806,15
tt0015324,15
tt0036868,15
tt0025316,15
tt4016934,15
tt0050986,15
tt0381681,15
tt0112471,15
tt0080684,8
tt0038650,8
tt0076759,8
tt0120689,8
tt5311514,8
tt0086190,8
tt0457430,8
tt10872600,8
tt0071853,8
tt0325980,8
tt0032138,8
tt0050976,8
tt1201607,8
tt0107048,8
tt0118799,4
tt0088763,4
tt1675434,4
tt0021749,4
tt0027977,4
tt0032553,4
tt2380307,4
tt1187043,4
tt0057012,4
tt0114709,4
tt0435761,4
tt1049413,4
tt0211915,4
tt0012349,4
tt0045152,4
tt0053604,4
tt0070735,4
tt0053291,4
tt0266543,4
tt0208092,4
tt6966692,4
tt4729430,4
tt0035446,4
tt0993846,4
tt0071853,4
tt0015324,4
tt0120382,4
tt2096673,4
tt2278388,4
tt3011894,4
tt5027774,4
tt0015864,4
tt0198781,4
tt0017925,4
tt0096283,4
tt0025316,4
tt0097165,4
tt0031679,4
tt0118715,4
tt0382932,4
tt0978762,4
tt0120735,4
tt0107048,4
tt0079470,4
tt0103639,4
tt0038650,7
tt0245429,7
tt0910970,7
tt0986264,7
tt0012349,7
tt0347149,7
tt0476735,7
tt0118849,7
tt0096283,7
tt0059742,7
tt0032138,7
tt1201607,7
tt1028532,7
tt0102926,18
tt0054215,18
tt0407887,18
tt0047396,18
tt6751668,18
tt7286456,18
tt1345836,18
tt0405094,18
tt0209144,18
tt0091251,18
tt0105236,18
tt0052357,18
tt0022100,18
tt0055630,18
tt0477348,18
tt1130884,18
tt10366206,18
tt0046268,18
tt0046912,18
tt0167404,18
tt0095016,18
tt0071315,18
tt2267998,18
tt0060827,18
tt3011894,18
tt0245712,18
tt4016934,18
tt3170832,18
tt0041959,18
tt0116282,18
tt0047296,18
tt0073195,18
tt0120815,19
tt0034583,19
tt0095327,19
tt0078788,19
tt0082096,19
tt0032553,19
tt0050825,19
tt0057012,19
tt0091251,19
tt0093058,19
tt0361748,19
tt0055031,19
tt0457430,19
tt0031381,19
tt0035446,19
tt8579674,19
tt0089881,19
tt0036868,19
tt0072684,19
tt0050212,19
tt0091763,19
tt0058946,19
tt0077416,19
tt0245429,2
tt0095327,2
tt0110357,2
tt0910970,2
tt5311514,2
tt4633694,2
tt2380307,2
tt0114709,2
tt0119698,2
tt0435761,2
tt1049413,2
tt0347149,2
tt0266543,2
tt4729430,2
tt2096673,2
tt0129167,2
tt0198781,2
tt0096283,2
tt0382932,2
tt0892769,2
tt0978762,2
tt0317705,2
tt0103639,2
tt0253474,12
tt2582802,12
tt0086879,12
tt0053291,12
tt0054215,11
tt0078748,11
tt0081505,11
tt0084787,11
tt0070047,11
tt0043014,9
tt0036775,9
tt0032976,9
tt0041959,9
tt0045152,13
tt1291584,17
tt0118849,17
tt0081398,17
tt0405159,17
tt0075148,17
